1: 1, FW: 2, N: space.1
1: 2, FW: 2, N: space.2
1: 3, FW: 2, N: space.3
1: 4, FW: 2, N: space.4
1: 6, FW: 2, N: space.6
1: 8, FW: 2, N: space.8
1: 5, FW: 2, N: space.5
1: 7, FW: 2, N: space.7
1: 10, FW: 2, N: space.10
1: 9, FW: 2, N: space.9
1: 2, FW: 1, N: space.2
1: 1, FW: 1, N: space.1
1: 4, FW: 1, N: space.4
1: 3, FW: 1, N: space.3
1: 6, FW: 1, N: space.6
1: 5, FW: 1, N: space.5
1: 7, FW: 1, N: space.7
1: 8, FW: 1, N: space.8
1: 9, FW: 1, N: space.9
1: 10, FW: 1, N: space.10
1: 1, FW: 10, N: space.1
1: 3, FW: 10, N: space.3
1: 2, FW: 10, N: space.2
1: 9, FW: 10, N: space.9
1: 6, FW: 10, N: space.6
1: 7, FW: 10, N: space.7
1: 5, FW: 10, N: space.5
1: 8, FW: 10, N: space.8
1: 4, FW: 10, N: space.4
1: 10, FW: 10, N: space.10
1: 3, FW: 9, N: space.3
1: 1, FW: 9, N: space.1
1: 2, FW: 9, N: space.2
1: 5, FW: 9, N: space.5
1: 4, FW: 9, N: space.4
1: 6, FW: 9, N: space.6
1: 7, FW: 9, N: space.7
1: 8, FW: 9, N: space.8
1: 10, FW: 9, N: space.10
1: 9, FW: 9, N: space.9
1: 1, FW: 1, N: space.1
1: 3, FW: 1, N: space.3
1: 5, FW: 1, N: space.5
1: 2, FW: 1, N: space.2
1: 4, FW: 1, N: space.4
1: 8, FW: 1, N: space.8
1: 9, FW: 1, N: space.9
1: 7, FW: 1, N: space.7
1: 6, FW: 1, N: space.6
1: 10, FW: 1, N: space.10
1: 1, FW: 9, N: space.1
1: 2, FW: 9, N: space.2
1: 3, FW: 9, N: space.3
1: 4, FW: 9, N: space.4
1: 7, FW: 9, N: space.7
1: 9, FW: 9, N: space.9
1: 5, FW: 9, N: space.5
1: 6, FW: 9, N: space.6
1: 8, FW: 9, N: space.8
1: 10, FW: 9, N: space.10
1: 3, FW: 1, N: space.3
1: 2, FW: 1, N: space.2
1: 1, FW: 1, N: space.1
1: 4, FW: 1, N: space.4
1: 6, FW: 1, N: space.6
1: 7, FW: 1, N: space.7
1: 8, FW: 1, N: space.8
1: 5, FW: 1, N: space.5
1: 9, FW: 1, N: space.9
1: 10, FW: 1, N: space.10
